TemplateId,Name,FuncType,Desc,FuncDesc,Icon,FuncIcon,Type,Class,MaxLevel,CanOpenManageOutTaiwu,Width,Color,BaseBuildCost,RemoveGetResourcePercent,MoveBuildCostResourceRate,CollectResourcePercent,BuildingCoreItem,DependBuildings,ExpandBuildings,RequireLifeSkillType,RequireCombatSkillType,RequirePersonalityType,LeaderName,MemberName,RecruitLifeSkillsAdjust,RecruitCombatSkillsAdjust,OperationTotalProgress,MaxDurability,BaseMaintenanceCost,BaseRepairCost,MustMaintenance,IsUnique,DestoryType,AddReadingLifeSkillBookEfficiency,ReduceCombatSkillCost,AddCombatSkillBreakout,AddLifeSkillAttainment,AddReadingLifeSkillBookFlash,CanMakeItem,UpgradeMakeItem,ReduceMakeRequirementLifeSkillType,VillagerRoleTemplateIds,IsShop,NeedLeader,NeedShopProgress,IsCollectResourceBuilding,ShowResourceStoreLocation,ShowItemStoreLocation,ShowItemLocationAsResourceLocation,MaxProduceValue,RequireCulture,RequireSafety,SuccesEvent,FailEvent,IdleEvent,SpecialEvent,MerchantId,ExpandInfos,EffectDesc,BelongOrganization,BuildingAreaLevelBack,BuildingAreaLevelInfoBackendPattern,ArtisanOrderAvailable,AvailableOnLoading,AvailableOrganization,ApprovingRate
10,兽群,Other,生态环境丰富多样的地区。有大量的野生动物在其间繁衍生息，其中更不乏珍禽异兽。,"<color=#pinkyellow>以「幼兽」为心材建造，亦可以此心材培育兽群，增加其资源产能。
兽群将为从属于此势力的所有人物依身份高低提供食材、织物资源，并提高此地区的野外出现野兽的几率。</color>",SectSpecial/10_shouqun,,NormalResource,BornResource,20,False,1,,[250; 0; 0; 0; 250; 0; 0; 0],100,50,[1; 0; 0; 0; 1; 0; 0],109,[],[33; 153; 163; 207],15,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[750; 250],5,[],50,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,[9; 31; 32; 44],兽群将为从属于此势力的所有人物依身份高低提供食材、织物资源，并提高此地区的野外出现野兽的几率。,-1,[ui9_buildingarea_namebase_0_2; ui9_buildingarea_namebase_1_2],[buildingarea_industry_icon_7; buildingarea_industry_base_7],False,0,[],0
11,火池,Other,地热和熔岩遍布的奇异地区。不仅炎热异常，还时常有天火坠落在地上，燃烧三日不见熄灭。,"<color=#pinkyellow>以「金乌灰」为心材建造，亦可以此心材培育火池，增加其资源产能。
火池将提高此定居点产业建筑在月份更替时增加的工作进度。</color>",SectSpecial/101_huochi,,SpecialResource,BornResource,20,False,1,,[0; 0; 1000; 0; 0; 0; 0; 0],100,50,[0; 0; 3; 0; 0; 0; 0],110,[],[34; 138; 184],6,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[1500; 500],10,[],100,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,[10; 45],火池将提高此定居点产业建筑在月份更替时增加的工作进度。,-1,[ui9_buildingarea_namebase_0_3; ui9_buildingarea_namebase_1_3],[buildingarea_industry_icon_6; buildingarea_industry_base_6],False,0,[],0
12,陨铁坑,Other,天外陨石坠落时砸出的坑洞。陨铁坑中散落着玄色的陨铁。陨铁坚韧无比，非大匠名师不能炼化。,"<color=#pinkyellow>以「应星石」为心材建造，亦可以此心材培育陨铁石，增加其资源产能。
陨铁坑将提高从属于此势力的所有人物及此定居点产业建筑代制物品的制造速度。</color>",SectSpecial/102_yuntiekeng,,SpecialResource,BornResource,20,False,1,,[0; 0; 1000; 0; 0; 0; 0; 0],100,50,[0; 0; 3; 0; 0; 0; 0],111,[],[35; 134; 208],6,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[1500; 500],10,[],100,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,[11; 46],陨铁坑将提高从属于此势力的所有人物及此定居点产业建筑代制物品的制造进度。,-1,[ui9_buildingarea_namebase_0_3; ui9_buildingarea_namebase_1_3],[buildingarea_industry_icon_6; buildingarea_industry_base_6],False,0,[],0
13,密林,Other,极其茂密而且人迹罕至的原始森林。密林多生有奇花异草，但是幽暗潮湿，采伐过程十分艰难。,"<color=#pinkyellow>以「密雨奇瘴」为心材建造，亦可以此心材培育密林，增加其资源产能。
密林将提高此定居点产业建筑的食材、木材、金铁、玉石、织物、药材资源的收入。</color>",SectSpecial/103_milin,,SpecialResource,BornResource,20,False,1,,[0; 1000; 0; 0; 0; 0; 0; 0],100,50,[0; 3; 0; 0; 0; 0; 0],112,[],[36; 144; 164],7,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[1500; 500],10,[],100,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,[12; 47],密林将提高此定居点产业建筑的食材、木材、金铁、玉石、织物、药材资源的收入。,-1,[ui9_buildingarea_namebase_0_3; ui9_buildingarea_namebase_1_3],[buildingarea_industry_icon_6; buildingarea_industry_base_6],False,0,[],0
14,太始林,Other,太始林占地十分之广，但是森林中的林木却颇为稀疏——只生长着一种青叶紫茎、玄华黄实的奇异巨木。,"<color=#pinkyellow>以「太始龙枝」为心材建造，亦可以此心材培育太始林，增加其资源产能。
太始林将增加此定居点产业的建设空间。</color>",SectSpecial/104_taishilin,,SpecialResource,BornResource,20,False,1,,[0; 1000; 0; 0; 0; 0; 0; 0],100,50,[0; 3; 0; 0; 0; 0; 0],113,[],[37; 148; 201],7,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[1500; 500],10,[],100,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,[13; 48],太始林将增加此定居点产业的建设空间。,-1,[ui9_buildingarea_namebase_0_3; ui9_buildingarea_namebase_1_3],[buildingarea_industry_icon_6; buildingarea_industry_base_6],False,0,[],0
15,长春涧,Other,与外界隔绝的狭长山涧。山涧中山青水秀，四季如春，是十分罕见的桃源仙境。,"<color=#pinkyellow>以「长春九窍石」为心材建造，亦可以此心材培育长春涧，增加其资源产能。
长春涧将提高此定居点影响范围内人物在月份更替时恢复的精力。</color>",SectSpecial/105_changchunjian,,SpecialResource,BornResource,20,False,1,,[0; 0; 0; 0; 0; 1000; 0; 0],100,50,[0; 0; 0; 0; 0; 3; 0],114,[],[38; 90; 126; 158; 221],8,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[1500; 500],10,[],100,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,[14; 49],长春涧将提高此定居点影响范围内人物在月份更替时恢复的精力。,-1,[ui9_buildingarea_namebase_0_3; ui9_buildingarea_namebase_1_3],[buildingarea_industry_icon_6; buildingarea_industry_base_6],False,0,[],0
16,玄蛇窟,Other,被大量蛇虫盘踞的洞窟。洞窟四周草木荒败，洞窟之中光怪陆离，白骨横陈，幽暗潮湿，深不见底。,"<color=#pinkyellow>以「玄蛇尸」为心材建造，亦可以此心材培育玄蛇窟，增加其资源产能。
玄蛇窟将提高此定居点产业建筑的威望收入。</color>",SectSpecial/106_xuansheku,,SpecialResource,BornResource,20,False,1,,[0; 0; 0; 0; 0; 1000; 0; 0],100,50,[0; 0; 0; 0; 0; 0; 3],115,[],[39; 168; 174],9,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[1500; 500],10,[],100,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,[15; 50],玄蛇窟将提高此定居点产业建筑的威望收入。,-1,[ui9_buildingarea_namebase_0_3; ui9_buildingarea_namebase_1_3],[buildingarea_industry_icon_6; buildingarea_industry_base_6],False,0,[],0
17,奇香原,Other,生长有大量散发着奇异香气的花草、晶石的秘境。这些花草与晶石色彩艳丽，观之摄魂，闻之夺魄。,"<color=#pinkyellow>以「奇香蜂王」为心材建造，亦可以此心材培育奇香原，增加其资源产能。
奇香原将提高此定居点产业建筑的银钱收入。</color>",SectSpecial/107_qixiangyuan,,SpecialResource,BornResource,20,False,1,,[0; 0; 0; 0; 1000; 0; 0; 0],100,50,[0; 0; 0; 0; 3; 0; 0],116,[],[40; 111; 178],10,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[1500; 500],10,[],100,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,[16; 51],奇香原将提高此定居点产业建筑的银钱收入。,-1,[ui9_buildingarea_namebase_0_3; ui9_buildingarea_namebase_1_3],[buildingarea_industry_icon_6; buildingarea_industry_base_6],False,0,[],0
18,风水龙穴,Other,藏风得水，调合天、地、阴、阳的风水宝地。风水龙穴是龙脉气息的藏聚之地，生机最旺。,"<color=#pinkyellow>以「生煞二元气」为心材建造，亦可以此心材培育风水龙穴，增加其资源产能。
风水龙穴将使得此定居点影响范围内任何季节均有可能出现可捕捉的促织。</color>",SectSpecial/108_fengshuilongxue,,SpecialResource,BornResource,20,False,1,,[0; 0; 0; 0; 1000; 0; 0; 0],100,50,[0; 0; 0; 0; 3; 0; 0],117,[],[41; 118; 194],4,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[1500; 500],10,[],100,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,[17; 52],风水龙穴将使得此定居点影响范围内任何季节均有可能出现可捕捉的促织。,-1,[ui9_buildingarea_namebase_0_3; ui9_buildingarea_namebase_1_3],[buildingarea_industry_icon_6; buildingarea_industry_base_6],False,0,[],0
19,灵脉,Other,灵脉是土地精华的核心，地脉的根本。灵脉由狭长的地底岩穴组成，遍布着神秘的矿物和植物。,"<color=#pinkyellow>以「地灵血」为心材建造，亦可以此心材培育灵脉，增加其资源产能。
灵脉将使得此定居点影响范围内在月份更替后可能出现「天材地宝」奇遇。</color>",SectSpecial/109_lingmai,,SpecialResource,BornResource,20,False,1,,[0; 0; 0; 1000; 0; 0; 0; 0],100,50,[0; 0; 0; 3; 0; 0; 0],118,[],[42; 104; 188],11,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[1500; 500],10,[],100,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,[18; 53],灵脉将使得此定居点影响范围内在月份更替后可能出现「天材地宝」奇遇。,-1,[ui9_buildingarea_namebase_0_3; ui9_buildingarea_namebase_1_3],[buildingarea_industry_icon_6; buildingarea_industry_base_6],False,0,[],0
20,玄冰,Other,生于极寒冷的环境，经过亿万年形成的坚冰。刀切斧斩不能使其断，熬炼火烤不能令其融。,"<color=#pinkyellow>以「墟底银沙」为心材建造，亦可以此心材培育玄冰，增加其资源产能。
玄冰将使得此势力有更高几率出生、招揽或出现持有更高魅力、属性、资质的新人物。</color>",SectSpecial/110_xuanbing,,SpecialResource,BornResource,20,False,1,,[0; 0; 0; 1000; 0; 0; 0; 0],100,50,[0; 0; 0; 3; 0; 0; 0],119,[],[43; 56; 97; 154; 212],11,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[1500; 500],10,[],100,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,[19; 54],玄冰将使得此势力有更高几率出生、招揽或出现持有更高魅力、属性、资质的新人物。,-1,[ui9_buildingarea_namebase_0_3; ui9_buildingarea_namebase_1_3],[buildingarea_industry_icon_6; buildingarea_industry_base_6],False,0,[],0
21,杂草堆,Other,杂草丛生之地，夜晚可以听到繁密的虫鸣。,,SectSpecial/20001_zhachaodui,,UselessResource,BornResource,20,False,1,,[100; 100; 0; 0; 100; 100; 0; 0],100,-1,[0; 0; 0; 0; 0; 0; 0],-1,[],[],15,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; 250],10,[],50,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,,,-1,[ui9_buildingarea_namebase_0_1; ui9_buildingarea_namebase_1_1],[buildingarea_industry_icon_7; buildingarea_industry_base_7],False,0,[],0
22,乱石堆,Other,乱石横陈之地，夜晚可以听到繁密的虫鸣。,,SectSpecial/20002_luanshidui,,UselessResource,BornResource,20,False,1,,[0; 0; 200; 200; 0; 0; 0; 0],100,-1,[0; 0; 0; 0; 0; 0; 0],-1,[],[],15,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; 250],10,[],50,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,,,-1,[ui9_buildingarea_namebase_0_1; ui9_buildingarea_namebase_1_1],[buildingarea_industry_icon_7; buildingarea_industry_base_7],False,0,[],0
23,废墟,Other,一片断壁残垣，夜晚可以听到繁密的虫鸣。,,SectSpecial/20003_feixu,,UselessResource,BornResource,20,False,1,,[0; 0; 0; 0; 0; 0; 1000; 100],100,-1,[0; 0; 0; 0; 0; 0; 0],-1,[],[],15,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; 250],10,[],50,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,,,-1,[ui9_buildingarea_namebase_0_1; ui9_buildingarea_namebase_1_1],[buildingarea_industry_icon_7; buildingarea_industry_base_7],False,0,[],0
