timestamp,eventGuid,eventContent,mainCharacterId,targetCharacterId,optionsCount,optionKeys,optionContents,optionTypes,optionStates,behaviors
2026-06-23 23:21:25.376,75ca833f-885b-4de8-bf4e-f9e383d9a32e,“徐仙公与那‘异人’……\n难道……同归于尽了吗？”\n太吾白想到此处，心头猛地一恸，忽然头昏眼花……,6968,-1,1,Option_-932785616, （……）,-1,0,0
2026-06-23 23:21:27.731,5c35b054-616b-4930-b590-51c08acc2068,恍惚间，光阴错乱……\n只见徐仙公抓起太吾白跌在血泊中的「伏虞剑柄」，与那“异人”拼死而战，\n也不知身躯被打成了多少块碎片，最终，才在一位看不清样貌的少女的帮助下，\n将那“异人”彻底击败……,6968,-1,1,Option_-1803080011, （以手探怀，剑柄仍在……）,-1,0,0
2026-06-23 23:21:37.346,6a470064-9536-412f-9a7f-11f58bff95d3,“阿弥陀佛！想不到老衲来迟一步，竟生此祸……”\n\n正在太吾白目眩神迷之时，\n一声熟悉的佛号，忽然自不远处传来，只见一老一幼两名僧人正发足奔来，\n正是太吾白曾在离开深谷时偶遇的室述辅与小和尚……,-1,-1,1,Option_-808775485, （挣扎起身……）,-1,0,0
2026-06-23 23:21:41.193,c09fa110-d289-4177-8793-c7777ca6744b,“万幸……”\n室述辅飞身上前，扶住挣扎中的太吾白，\n又在太吾白的背上微一运力，立时导正了太吾白紊乱的气息，\n太吾白气息一顺，坐起身来，不由得呜咽出声……,6968,7612,1,Option_-391220696, 大师……徐仙公他……为了救我……,-1,0,0
2026-06-23 23:21:44.725,bf3fa5a2-8363-4ebd-b057-4cd29572d70f,“善哉，善哉……”\n室述辅点了点头，继续说道：\n“施主这番死里逃生，可谓系千均于一发，现下需得凝神静气，切莫再乱了内息！”\n\n室述辅说完，先是吩咐身边的小和尚继续照看太吾白，\n随后，又俯身一一查看起散落在地上的徐仙公残骸……,6968,7612,1,Option_-2048545732, （凝神静气，稳定内息……）,-1,0,0
2026-06-23 23:21:49.943,fc5eae24-ca2c-42ce-8d90-ec4cc712d34b,如此这般，过得半晌之后，\n太吾白的内息终于渐渐平稳，\n室述辅一边询问此事的缘由，一边将徐仙公的残骸拾捡到了一处，\n将其拼回了人形的模样……,-1,-1,1,Option_1182255198, 大师……这徐仙公……,-1,0,0
2026-06-23 23:21:51.885,8539625a-df30-4075-9afd-6ce70f40564c,“活亦不成，死亦不能……”\n室述辅摇头道，说罢，双手合十，向徐仙公的残骸躬身一拜……,6968,7612,1,Option_-170109075, 活亦不成，死亦不能？,-1,0,0
2026-06-23 23:21:53.338,a951f856-0cc3-46bf-b366-fceb3c84932a,“这位‘仙公’修为不浅！\n能够托身木人，更是千载难见！\n老衲虽也知道这世间有化物成人、托魂借命的不世奇术，\n但这‘仙公’身上，除此之外，却还另有蹊跷，似乎，是与什么东西结命于一处……\n二者根盘结错，相生不息……”,6968,7612,1,Option_107237037, 如此说来，莫非徐仙公还有救？！,-1,0,0
2026-06-23 23:21:59.534,21343fb5-0791-4936-8848-0aa821709e37,“能不能救，老衲不敢妄言，\n只是，结命之物，难以独死，这位‘仙公’又能舍己救人，\n上天有好生之德，定会报以其一线生机！”,6968,7612,1,Option_1687746239, 却不知这一线“生机”，现在何处……,-1,0,0
2026-06-23 23:22:03.811,fca7f818-6721-4a0d-a2ff-c05344b6a881,室述辅闻言，闭目不语，只是摇头，\n\n良久之后，才双手合十，向太吾白说道：\n“此地的八座剑冢，今日虽得这位‘仙公’舍身除去一座，但剩余的七座，却也个个凶险！\n未免苍生蒙难，老衲这便要去仔细探查一番，施主还请快快避难去吧……”,6968,7612,4,Option_-564030353|Option_-1827756878|Option_564997566|Option_28226033, 大师知道那些无名剑冢的来历？| 那“异人”是与“相枢”有关？| 我应当如何安置徐仙公的残骸？| 剑冢随我而生，异人为我而来，仙公因我而逝，我只怕避无可避……,-1|-1|-1|-1,1|1|1|0,0|0|0|0
2026-06-23 23:22:09.494,a2cb737d-9950-4e5e-8ec9-a1d22316b913,“只知其一，未知其二，\n这些无名剑冢，已非老衲昔日所见之模样……”\n,6968,7612,3,Option_-1827756878|Option_564997566|Option_28226033, 那“异人”是与“相枢”有关？| 我应当如何安置徐仙公的残骸？| 剑冢随我而生，异人为我而来，仙公因我而逝，我只怕避无可避……,-1|-1|-1,1|1|0,0|0|0
2026-06-23 23:22:12.148,d7f4c0d0-dfdd-4a94-957f-23c546ecc765,“哦！？看来施主已知道了许多‘相枢’之事，\n不错，那破冢而出的‘异人’恐怕正是‘相枢’邪魔的化身……”\n,6968,7612,2,Option_564997566|Option_28226033, 我应当如何安置徐仙公的残骸？| 剑冢随我而生，异人为我而来，仙公因我而逝，我只怕避无可避……,-1|-1,1|0,0|0
2026-06-23 23:22:15.425,9de370b6-1f8f-4976-877a-926b3a9f4cc3,“静置阁中，等待机缘……”\n,6968,7612,1,Option_28226033, 剑冢随我而生，异人为我而来，仙公因我而逝，我只怕避无可避……,-1,0,0
2026-06-23 23:22:17.233,c38913f1-909b-472c-b2db-a65c897b4a68,“阿弥陀佛！万般皆因果，半点不由人，\n施主既已在这场轮回之中，确也避无可避，只不过……\n苍生无辜，施主若是有心，不如多方求援，以策万全！”,6968,7612,1,Option_979075002, 多方求援，以策万全……,-1,0,0
2026-06-23 23:22:19.677,661419a1-1f97-48b1-8674-8dba0e8cb86a,事不宜迟，\n很快，室述辅便带着小和尚往各个剑冢而去……\n\n太吾白听到“多方求援”四字，心中不禁想起，\n在太吾氏的祠堂里，那些曾由武林各派所立下的巨大石碑……,-1,-1,5,Option_-760768328|Option_-695276212|Option_1087426567|Option_-1890458336|Option_-252720923, 石碑立誓，共御相枢，各派理应驰援，不可不叫他们知道消息……| 即便武林各派不能施以援手，我也当警示世人，以免祸及无辜……| 此间祸事，定与相枢有莫大的关联，理应与各大门派商议对策……| 正好，若能借此机会到四方游玩，倒也不怕日后义父责怪于我……| 我今日受苦，皆因本领未成，正可借此机会要求各派传我武功……,-1|-1|-1|-1|-1,0|0|0|0|0,1|2|3|4|5
2026-06-23 23:22:21.868,6ac6473d-2a86-4e08-aa57-264d19e19329,主意拿定，便不迟疑，\n只是，太吾村避世多年，与外界往来极少，但剑冢的危机此刻又迫在眉睫，\n若是不能马上打通太吾村与各地的关驿，只怕远水不能救近火……,-1,-1,1,Option_-1322609652, 当务之急，应当重修太吾村的驿站，以令众人向外传出消息……,-1,0,0
2026-06-23 23:31:44.304,a057e1a6-84c2-491b-9202-b4295a0ef453,“我近日修习功法颇有心得，\n愿与你比试一番，以明长短……”\n\n这一日，宰父安丘抱拳相迎，希望能与太吾白切磋一番！,6968,7030,2,Option_-1871648245|Option_-900972038, （同意切磋……）| （婉言拒绝……）,-1|-1,0|0,0|0
2026-06-23 23:32:58.745,c0ab1a78-0104-478b-b994-66e604afd689,“与你交手，方知武道天深，落败于你，我心悦诚服……”,6968,7030,1,Option_-660700640, （如此便好……）,-1,0,0
2026-06-23 23:35:06.130,c242005d-3fe7-4fe2-a7e6-bf3f3adb3fee,说罢，宰父安丘又笑着拉住太吾白言道：\n\n“正巧我近日听得些许江湖之事，心有所感，且让我说与你听……”\n\n<color=#lightgrey>（听得宰父安丘所言，太吾白获得了一些历练……）</color>,6968,7030,1,Option_526304089, （原来如此……）,-1,0,0
2026-06-23 23:35:14.176,655c6e3f-4226-4d81-b4ee-fad803b0a8b6,这一日，太吾白于太吾村休憩之时，\n忽然发觉身后的<color=#GradeColor_4>狮子</color>躁动不安，发出阵阵低鸣，\n太吾白心中纳罕，当即转身察看，谁知甫一走近，\n<color=#GradeColor_4>狮子</color>竟猛然朝太吾白冲撞而来！\n\n<color=#GradeColor_4>狮子</color>野性难驯，今日竟欲伤其主……,-1,-1,2,Option_-472254648|Option_2132628720, （出手制服<color=#GradeColor_4>狮子</color>！）| （就此放生<color=#GradeColor_4>狮子</color>……）,-1|-1,0|0,0|0
